,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
0,Rikitea,78,PF,1652046763,77,-23.1203,-134.9692,24.65,8.8
1,Castro,2,BR,1652046763,88,-24.7911,-50.0119,12.42,1.74
2,Vaini,20,TO,1652046763,69,-21.2,-175.2,26.09,4.12
3,Dhidhdhoo,94,MV,1652046764,70,6.8833,73.1,29.38,7.96
4,Khatanga,45,RU,1652046764,96,71.9667,102.5,-15.21,3.98
5,Nichinan,96,JP,1652046765,88,31.6,131.3667,18.82,1.89
6,Busselton,1,AU,1652046765,83,-33.65,115.3333,13.01,1.34
7,Rocha,0,UY,1652046765,82,-34.4833,-54.3333,14.07,2.42
8,Leningradskiy,100,RU,1652046766,91,69.3833,178.4167,-3.19,3.74
9,Sioux Lookout,100,CA,1652046766,100,50.1001,-91.917,7.04,3.09
10,Hermanus,98,ZA,1652046767,76,-34.4187,19.2345,14.54,1.47
11,Henties Bay,0,NA,1652046767,67,-22.116,14.2845,15.7,2.65
12,Ribeira Grande,27,PT,1652046767,79,38.5167,-28.7,17.19,2.61
13,Klaksvík,100,FO,1652046768,98,62.2266,-6.589,9.51,9.15
14,Tura,9,IN,1652046768,87,25.5198,90.2201,21.49,1.93
15,Saldanha,100,ZA,1652046769,88,-33.0117,17.9442,11.03,3.42
16,Ushuaia,40,AR,1652046540,75,-54.8,-68.3,5.81,12.86
17,Saint-Joseph,16,RE,1652046769,82,-21.3667,55.6167,21.21,3.56
18,Mossamedes,0,AO,1652046770,61,-15.1961,12.1522,23.02,3.68
19,Praia,75,CV,1652046770,73,14.9215,-23.5087,22.3,7.72
20,Yellowknife,100,CA,1652046770,93,62.456,-114.3525,-3.71,12.35
21,Bathsheba,20,BB,1652046771,74,13.2167,-59.5167,28.34,7.2
22,Souillac,20,MU,1652046683,94,-20.5167,57.5167,22.21,1.54
23,Chokurdakh,61,RU,1652046771,86,70.6333,147.9167,-8.65,3.97
24,Goderich,11,CA,1652046407,41,43.7501,-81.7165,14.18,5.14
25,Hilo,100,US,1652046772,84,19.7297,-155.09,33.49,6.69
26,Westport,100,US,1652046772,34,41.1415,-73.3579,15.15,3.58
27,Dikson,100,RU,1652046773,95,73.5069,80.5464,-2.89,11.94
28,Yulara,100,AU,1652046773,43,-25.2406,130.9889,9.91,3.09
29,Atasū,63,KZ,1652046773,35,48.6814,71.6433,6.89,7.37
30,Bluff,100,NZ,1652046545,89,-46.6,168.3333,10.45,1.27
31,Kudahuvadhoo,100,MV,1652046774,78,2.6708,72.8944,28.91,8.49
32,Cabo San Lucas,96,MX,1652046569,54,22.8909,-109.9124,30.9,6.86
33,Kumul,6,CN,1652046774,31,42.8,93.45,19.12,3.04
34,Mataura,99,NZ,1652046775,93,-46.1927,168.8643,10.27,0.14
35,Aklavik,26,CA,1652046775,67,68.2191,-135.0107,6.11,3.73
36,Hobyo,100,SO,1652046776,83,5.3505,48.5268,28.33,7.29
37,Arraial do Cabo,75,BR,1652046595,64,-22.9661,-42.0278,23.92,2.57
38,Upernavik,60,GL,1652046776,83,72.7868,-56.1549,-8.6,2.62
39,Acapulco de Juárez,37,MX,1652046776,59,16.8634,-99.8901,29.85,4.73
40,Laas,99,IT,1652046777,96,46.6166,10.7002,12.49,0.52
41,Pacific Grove,75,US,1652046777,73,36.6177,-121.9166,16.97,6.69
42,Saint George,0,US,1652046661,11,37.1041,-113.5841,29.24,16.46
43,Aksarka,100,RU,1652046778,100,66.5606,67.7975,2.19,4.71
44,Barrow,75,US,1652046601,86,71.2906,-156.7887,-1.99,6.17
45,Tapes,0,BR,1652046778,84,-30.6733,-51.3958,16.75,3.26
46,La Ronge,75,CA,1652046779,30,55.1001,-105.2842,13.14,7.72
47,Puerto Ayora,51,EC,1652046538,79,-0.7393,-90.3518,25.98,4.22
48,Mahébourg,20,MU,1652046779,94,-20.4081,57.7,22.36,1.54
49,Kirkenær,66,NO,1652046780,42,60.4564,12.0582,5.24,2.46
50,Florianópolis,0,BR,1652046780,64,-27.6146,-48.5012,19.57,2.06
